,Year,Breed_C,Breed_NC,Gained,Lost,Regained,Default
0,0,4036,4801,1645,1466,,5726.0
1,1,4185,4652,2976,1018,869,3974.0
2,2,5868,2969,4222,1043,1057,2515.0
3,3,3164,5673,4222,1672,611,2332.0
4,4,7231,1606,4293,628,1770,2146.0
5,5,3804,5033,4385,1299,1184,1969.0
6,6,7308,1529,4414,632,1912,1879.0
7,7,3843,4994,4441,1304,1284,1808.0
8,8,7297,1540,4462,671,1961,1743.0
9,9,3657,5180,4465,1430,1233,1709.0
10,10,3350,5487,4465,1916,780,1676.0
11,11,7342,1495,4486,348,2366,1637.0
12,12,4050,4787,4491,1457,1273,1616.0
13,13,6690,2147,4493,754,1996,1594.0
14,14,3627,5210,4494,1706,1059,1578.0
15,15,6968,1869,4498,597,2180,1562.0
16,16,3631,5206,4498,1705,1079,1555.0
17,17,6845,1992,4498,659,2132,1548.0
18,18,3804,5033,4498,1602,1194,1543.0
19,19,7083,1754,4504,535,2267,1531.0
20,20,4070,4767,4505,1452,1363,1517.0
21,21,6962,1875,4510,600,2222,1505.0
22,22,4206,4631,4511,1346,1485,1495.0
23,23,6182,2655,4511,1041,1793,1492.0
24,24,4654,4183,4514,1115,1728,1480.0
